site,record,threshold_cm,delta_pp,ci_lo,ci_hi,n_night,n_day,night_pct,day_pct
winnipeg,metar_CYWG,0.5,16.9,14.0,19.8,1246,1245,45.0,28.1
winnipeg,metar_CYWG_SPRING,0.5,14.3,8.1,20.8,289,289,40.7,26.3
winnipeg,metar_CYWG_SUMMER,0.5,20.0,15.7,24.2,552,552,48.4,28.4
winnipeg,metar_CYWG_AUTUMN,0.5,14.8,9.8,20.3,404,404,43.7,28.9
winnipeg,goes_nearest,0.5,2.0,-2.6,6.5,664,758,,
winnipeg,goes_box3,0.5,2.0,-2.7,6.6,664,758,,
winnipeg,goes_box5,0.5,1.6,-3.2,6.2,664,758,,
winnipeg,goes_nearest_SPRING,0.5,-4.8,-14.9,4.9,139,166,,
winnipeg,goes_nearest_SUMMER,0.5,3.8,-3.0,10.8,265,353,,
winnipeg,goes_nearest_AUTUMN,0.5,5.6,-1.9,13.2,260,241,,
winnipeg,human_minus_goes,0.5,14.0,10.6,17.4,664,758,,
winnipeg,metar_CYWG,1.0,16.8,14.1,19.8,1290,1289,44.5,27.7
winnipeg,metar_CYWG_SPRING,1.0,14.4,8.1,20.4,318,318,40.4,25.9
winnipeg,metar_CYWG_SUMMER,1.0,20.0,15.7,24.2,552,552,48.4,28.4
winnipeg,metar_CYWG_AUTUMN,1.0,14.5,9.3,19.6,418,418,42.7,28.2
winnipeg,goes_nearest,1.0,2.0,-2.6,6.5,687,781,,
winnipeg,goes_box3,1.0,1.9,-2.7,6.4,687,781,,
winnipeg,goes_box5,1.0,1.4,-3.3,6.0,687,781,,
winnipeg,goes_nearest_SPRING,1.0,-5.1,-14.4,4.2,153,180,,
winnipeg,goes_nearest_SUMMER,1.0,3.8,-3.0,10.8,265,353,,
winnipeg,goes_nearest_AUTUMN,1.0,5.9,-1.6,13.7,269,249,,
winnipeg,human_minus_goes,1.0,13.6,10.3,16.9,687,781,,
winnipeg,metar_CYWG,2.0,16.5,13.7,19.3,1342,1341,44.2,27.7
winnipeg,metar_CYWG_WINTER,2.0,-11.2,-42.3,15.5,5,4,12.7,23.8
winnipeg,metar_CYWG_SPRING,2.0,14.5,8.4,20.3,342,342,40.6,26.0
winnipeg,metar_CYWG_SUMMER,2.0,20.0,15.7,24.2,552,552,48.4,28.4
winnipeg,metar_CYWG_AUTUMN,2.0,14.1,9.1,18.8,443,443,42.3,28.2
winnipeg,goes_nearest,2.0,2.3,-2.1,6.7,716,809,,
winnipeg,goes_box3,2.0,2.3,-2.2,6.7,716,809,,
winnipeg,goes_box5,2.0,1.7,-2.6,6.1,716,809,,
winnipeg,goes_nearest_WINTER,2.0,20.8,-12.5,50.0,2,3,,
winnipeg,goes_nearest_SPRING,2.0,-3.3,-12.1,5.6,167,195,,
winnipeg,goes_nearest_SUMMER,2.0,3.8,-3.0,10.8,265,353,,
winnipeg,goes_nearest_AUTUMN,2.0,6.0,-1.5,13.4,282,260,,
winnipeg,human_minus_goes,2.0,13.0,9.9,16.3,716,809,,
winnipeg,metar_CYWG,5.0,16.3,13.4,18.9,1453,1452,43.1,26.8
winnipeg,metar_CYWG_WINTER,5.0,5.5,-8.1,19.0,50,49,28.3,22.7
winnipeg,metar_CYWG_SPRING,5.0,15.3,9.9,20.4,378,378,40.4,25.1
winnipeg,metar_CYWG_SUMMER,5.0,20.0,15.7,24.2,552,552,48.4,28.4
winnipeg,metar_CYWG_AUTUMN,5.0,13.9,9.3,18.6,473,473,40.7,26.8
winnipeg,goes_nearest,5.0,2.4,-1.6,6.8,777,869,,
winnipeg,goes_box3,5.0,2.2,-1.9,6.6,777,869,,
winnipeg,goes_box5,5.0,1.7,-2.5,6.0,777,869,,
winnipeg,goes_nearest_WINTER,5.0,-7.8,-30.0,15.5,29,25,,
winnipeg,goes_nearest_SPRING,5.0,-0.8,-9.4,7.4,190,223,,
winnipeg,goes_nearest_SUMMER,5.0,3.8,-3.0,10.8,265,353,,
winnipeg,goes_nearest_AUTUMN,5.0,6.3,-0.9,13.5,293,270,,
winnipeg,human_minus_goes,5.0,12.0,8.9,15.3,777,869,,
toronto,metar_CYYZ,0.5,17.1,14.4,19.6,1542,1541,42.1,25.0
toronto,metar_CYYZ_WINTER,0.5,2.4,-7.4,12.1,58,57,17.5,15.1
toronto,metar_CYYZ_SPRING,0.5,16.2,11.0,21.4,420,420,38.7,22.5
toronto,metar_CYYZ_SUMMER,0.5,22.9,18.6,27.2,552,552,49.9,27.0
toronto,metar_CYYZ_AUTUMN,0.5,13.4,8.9,17.9,512,512,39.3,25.9
toronto,metar_CYTZ,0.5,-1.1,-3.9,1.7,1542,1541,49.7,50.7
toronto,goes_nearest,0.5,2.8,-1.2,6.8,869,954,,
toronto,goes_box3,0.5,3.6,-0.4,7.6,869,954,,
toronto,goes_box5,0.5,3.7,-0.3,7.7,869,954,,
toronto,goes_nearest_WINTER,0.5,-1.2,-15.0,13.1,50,49,,
toronto,goes_nearest_SPRING,0.5,-0.5,-8.8,7.3,213,254,,
toronto,goes_nearest_SUMMER,0.5,6.6,-0.2,13.5,290,352,,
toronto,goes_nearest_AUTUMN,0.5,2.9,-4.2,9.8,316,299,,
toronto,goes_nearest_CYTZ,0.5,4.2,-0.0,8.1,869,954,,
toronto,human_minus_goes,0.5,13.7,11.0,16.3,869,954,,
toronto,auto_dod,0.5,18.2,14.5,22.2,,,,
toronto,metar_CYYZ,1.0,16.8,14.2,19.5,1587,1586,41.5,24.7
toronto,metar_CYYZ_WINTER,1.0,2.9,-5.5,11.3,79,78,17.5,14.6
