site,record,threshold_cm,delta_pp,ci_lo,ci_hi,n_night,n_day,night_pct,day_pct
winnipeg,goes_box3,5.0,4.7,1.3,8.0,1195,1326,,
winnipeg,goes_box5,5.0,4.1,0.7,7.3,1195,1326,,
winnipeg,goes_nearest_WINTER,5.0,7.9,-9.3,25.3,50,38,,
winnipeg,goes_nearest_SPRING,5.0,4.2,-2.2,10.8,300,354,,
winnipeg,goes_nearest_SUMMER,5.0,6.4,0.6,12.5,402,528,,
winnipeg,goes_nearest_AUTUMN,5.0,6.8,1.1,12.4,443,408,,
winnipeg,human_minus_goes,5.0,10.8,8.1,13.3,1195,1326,,
toronto,metar_CYYZ,0.5,17.1,14.4,19.6,1542,1541,42.1,25.0
toronto,metar_CYTZ,0.5,-1.1,-3.9,1.7,1542,1541,49.7,50.7
toronto,goes_nearest,0.5,5.0,1.7,8.3,1314,1424,,
toronto,goes_box3,0.5,5.6,2.3,8.9,1314,1424,,
toronto,goes_box5,0.5,5.8,2.5,9.0,1314,1424,,
toronto,goes_nearest_WINTER,0.5,-0.0,-14.2,13.4,53,51,,
toronto,goes_nearest_SPRING,0.5,7.4,1.2,14.0,342,398,,
toronto,goes_nearest_SUMMER,0.5,7.7,1.9,13.3,437,526,,
toronto,goes_nearest_AUTUMN,0.5,2.3,-3.3,7.7,482,449,,
toronto,goes_nearest_CYTZ,0.5,6.1,2.8,9.4,1314,1424,,
toronto,human_minus_goes,0.5,11.8,9.7,13.9,1314,1424,,
toronto,auto_dod,0.5,18.2,14.5,22.2,,,,
toronto,metar_CYYZ,1.0,16.8,14.2,19.5,1587,1586,41.5,24.7
toronto,metar_CYTZ,1.0,-1.1,-3.9,1.6,1586,1586,49.0,50.2
toronto,goes_nearest,1.0,4.6,1.3,7.8,1352,1463,,
toronto,goes_box3,1.0,5.1,1.8,8.5,1352,1463,,
toronto,goes_box5,1.0,5.3,2.0,8.6,1352,1463,,
toronto,goes_nearest_WINTER,1.0,-1.0,-13.9,11.1,74,69,,
toronto,goes_nearest_SPRING,1.0,6.8,0.8,12.9,355,414,,
toronto,goes_nearest_SUMMER,1.0,7.7,1.9,13.3,437,526,,
toronto,goes_nearest_AUTUMN,1.0,1.8,-3.8,7.6,486,454,,
toronto,goes_nearest_CYTZ,1.0,5.9,2.7,9.2,1352,1463,,
toronto,human_minus_goes,1.0,11.9,9.8,14.0,1352,1463,,
toronto,auto_dod,1.0,18.0,14.1,21.7,,,,
toronto,metar_CYYZ,2.0,16.5,14.0,18.8,1659,1658,40.7,24.3
toronto,metar_CYTZ,2.0,-0.9,-3.6,1.7,1658,1658,48.2,49.1
toronto,goes_nearest,2.0,4.6,1.6,7.8,1413,1518,,
toronto,goes_box3,2.0,5.2,2.2,8.4,1413,1518,,
toronto,goes_box5,2.0,5.4,2.4,8.5,1413,1518,,
toronto,goes_nearest_WINTER,2.0,-0.2,-10.3,9.9,119,101,,
toronto,goes_nearest_SPRING,2.0,7.7,1.6,13.4,368,433,,
toronto,goes_nearest_SUMMER,2.0,7.7,1.9,13.3,437,526,,
toronto,goes_nearest_AUTUMN,2.0,2.0,-3.4,7.3,490,458,,
toronto,goes_nearest_CYTZ,2.0,6.2,3.0,9.5,1413,1518,,
toronto,human_minus_goes,2.0,11.7,9.6,13.9,1413,1518,,
toronto,auto_dod,2.0,17.4,13.9,21.1,,,,
toronto,metar_CYYZ,5.0,15.3,12.9,17.5,1844,1842,38.6,23.4
toronto,metar_CYTZ,5.0,-1.5,-4.1,1.1,1843,1842,45.5,47.0
toronto,goes_nearest,5.0,3.3,0.2,6.1,1588,1665,,
toronto,goes_box3,5.0,3.9,0.9,6.8,1588,1665,,
toronto,goes_box5,5.0,4.0,1.0,6.9,1588,1665,,
toronto,goes_nearest_WINTER,5.0,-3.3,-9.7,3.2,247,209,,
toronto,goes_nearest_SPRING,5.0,7.5,1.9,13.5,404,464,,
toronto,goes_nearest_SUMMER,5.0,7.7,1.9,13.3,437,526,,
toronto,goes_nearest_AUTUMN,5.0,1.3,-4.3,6.6,502,466,,
toronto,goes_nearest_CYTZ,5.0,5.6,2.7,8.6,1588,1665,,
toronto,human_minus_goes,5.0,11.6,9.6,13.5,1587,1664,,
toronto,auto_dod,5.0,16.7,13.2,20.4,,,,
ottawa,metar_CYOW,0.5,14.2,11.4,16.9,1330,1329,36.8,22.7
ottawa,goes_nearest,0.5,5.8,2.4,9.4,1119,1236,,
ottawa,goes_box3,0.5,6.7,3.2,10.2,1119,1236,,
ottawa,goes_box5,0.5,7.2,3.7,10.6,1119,1236,,
ottawa,goes_nearest_SPRING,0.5,4.8,-2.2,11.8,257,310,,
ottawa,goes_nearest_SUMMER,0.5,8.6,2.8,14.4,433,525,,
ottawa,goes_nearest_AUTUMN,0.5,3.5,-2.9,9.2,425,400,,
ottawa,human_minus_goes,0.5,8.4,6.0,10.8,1119,1236,,
ottawa,metar_CYOW,1.0,14.0,11.3,16.6,1371,1370,36.6,22.6
ottawa,goes_nearest,1.0,6.1,2.6,9.4,1153,1270,,
ottawa,goes_box3,1.0,6.9,3.4,10.2,1153,1270,,
ottawa,goes_box5,1.0,7.3,3.9,10.7,1153,1270,,
ottawa,goes_nearest_WINTER,1.0,10.4,-40.0,57.1,7,5,,
ottawa,goes_nearest_SPRING,1.0,5.7,-1.4,12.7,279,334,,
ottawa,goes_nearest_SUMMER,1.0,8.6,2.8,14.4,433,525,,
ottawa,goes_nearest_AUTUMN,1.0,3.6,-2.6,9.5,434,406,,
ottawa,human_minus_goes,1.0,8.1,5.7,10.6,1153,1270,,
ottawa,metar_CYOW,2.0,13.8,11.3,16.5,1434,1433,36.0,22.2
ottawa,goes_nearest,2.0,5.8,2.2,9.1,1213,1321,,
ottawa,goes_box3,2.0,6.5,3.0,9.8,1213,1321,,
ottawa,goes_box5,2.0,7.0,3.3,10.4,1213,1321,,
ottawa,goes_nearest_WINTER,2.0,13.0,-8.1,31.7,30,20,,
ottawa,goes_nearest_SPRING,2.0,3.9,-2.8,10.3,299,355,,
ottawa,goes_nearest_SUMMER,2.0,8.6,2.8,14.4,433,525,,
ottawa,goes_nearest_AUTUMN,2.0,4.2,-1.7,10.1,451,421,,
ottawa,human_minus_goes,2.0,7.8,5.5,10.0,1213,1321,,
ottawa,metar_CYOW,5.0,13.2,10.8,15.6,1537,1536,35.2,22.0
ottawa,goes_nearest,5.0,5.0,1.8,8.5,1309,1410,,
ottawa,goes_box3,5.0,5.8,2.5,9.2,1309,1410,,
ottawa,goes_box5,5.0,6.1,2.8,9.5,1309,1410,,
ottawa,goes_nearest_WINTER,5.0,-1.7,-16.4,12.5,73,58,,
ottawa,goes_nearest_SPRING,5.0,4.5,-1.8,10.9,332,387,,
ottawa,goes_nearest_SUMMER,5.0,8.6,2.8,14.4,433,525,,
ottawa,goes_nearest_AUTUMN,5.0,3.5,-2.4,9.3,473,440,,
ottawa,human_minus_goes,5.0,7.7,5.4,9.8,1309,1410,,
montreal,metar_CYUL,0.5,17.1,14.1,19.9,1315,1314,40.6,23.4
montreal,metar_CYHU,0.5,3.6,0.5,6.7,1314,1314,46.4,42.8
montreal,goes_nearest,0.5,6.0,2.2,9.4,1099,1212,,
montreal,goes_box3,0.5,5.8,2.0,9.3,1099,1212,,
montreal,goes_box5,0.5,5.9,2.3,9.5,1099,1212,,
montreal,goes_nearest_WINTER,0.5,17.3,-34.4,60.5,11,4,,
montreal,goes_nearest_SPRING,0.5,3.9,-3.5,11.4,229,284,,
montreal,goes_nearest_SUMMER,0.5,4.3,-1.3,10.2,430,525,,
montreal,goes_nearest_AUTUMN,0.5,9.1,2.9,15.1,429,399,,
montreal,goes_nearest_CYHU,0.5,5.8,2.5,9.2,1099,1212,,
montreal,human_minus_goes,0.5,11.2,8.7,13.8,1099,1212,,
montreal,auto_dod,0.5,13.5,9.4,17.7,,,,
montreal,metar_CYUL,1.0,16.8,14.1,19.6,1348,1347,40.1,23.3
montreal,metar_CYHU,1.0,3.3,0.3,6.3,1347,1347,45.8,42.5
montreal,goes_nearest,1.0,5.8,2.1,9.3,1130,1242,,
montreal,goes_box3,1.0,5.7,1.9,9.1,1130,1242,,
montreal,goes_box5,1.0,5.7,2.0,9.3,1130,1242,,
montreal,goes_nearest_WINTER,1.0,2.3,-30.1,33.5,21,12,,
montreal,goes_nearest_SPRING,1.0,3.8,-3.3,11.3,241,297,,
