site,record,threshold_cm,delta_pp,ci_lo,ci_hi,n_night,n_day,night_pct,day_pct
montreal,goes_nearest_CYHU,1.0,16.9,10.9,22.3,401,423,,
montreal,human_minus_goes,1.0,2.3,-2.0,6.8,401,423,,
montreal,auto_dod,1.0,13.5,9.4,17.6,,,,
montreal,metar_CYUL,2.0,16.5,13.9,19.2,1415,1414,39.6,23.1
montreal,metar_CYHU,2.0,3.0,0.0,6.0,1414,1414,45.1,42.1
montreal,goes_nearest,2.0,16.3,10.9,22.0,425,447,,
montreal,goes_box3,2.0,17.2,11.9,22.8,425,447,,
montreal,goes_box5,2.0,17.9,12.3,23.5,425,447,,
montreal,goes_nearest_WINTER,2.0,29.1,3.1,53.5,18,11,,
montreal,goes_nearest_SPRING,2.0,16.6,4.9,27.8,96,114,,
montreal,goes_nearest_SUMMER,2.0,13.9,4.2,23.4,147,174,,
montreal,goes_nearest_AUTUMN,2.0,18.7,9.5,27.4,165,148,,
montreal,goes_nearest_CYHU,2.0,17.7,12.2,23.4,425,447,,
montreal,human_minus_goes,2.0,1.9,-2.2,5.8,425,447,,
montreal,auto_dod,2.0,13.5,9.5,17.4,,,,
montreal,metar_CYUL,5.0,15.8,13.2,18.3,1530,1529,38.3,22.5
montreal,metar_CYHU,5.0,2.6,-0.1,5.4,1529,1529,43.4,40.8
montreal,goes_nearest,5.0,16.8,11.3,22.2,451,471,,
montreal,goes_box3,5.0,17.5,12.0,22.8,451,471,,
montreal,goes_box5,5.0,18.2,12.6,23.4,451,471,,
montreal,goes_nearest_WINTER,5.0,27.1,8.2,45.8,29,20,,
montreal,goes_nearest_SPRING,5.0,18.4,7.2,29.7,104,122,,
montreal,goes_nearest_SUMMER,5.0,13.9,4.2,23.4,147,174,,
montreal,goes_nearest_AUTUMN,5.0,18.7,9.9,27.6,172,155,,
montreal,goes_nearest_CYHU,5.0,17.9,12.3,23.3,451,471,,
montreal,human_minus_goes,5.0,0.6,-3.5,4.4,451,471,,
montreal,auto_dod,5.0,13.1,9.3,16.9,,,,
halifax,metar_CYHZ,0.5,12.4,9.9,14.8,1434,1433,30.8,18.3
halifax,goes_nearest,0.5,21.7,15.9,27.4,396,417,,
halifax,goes_box3,0.5,20.2,14.4,25.9,396,417,,
halifax,goes_box5,0.5,20.4,14.5,26.2,396,417,,
halifax,goes_nearest_WINTER,0.5,12.2,-26.4,45.3,15,8,,
halifax,goes_nearest_SPRING,0.5,31.0,18.0,43.8,71,87,,
halifax,goes_nearest_SUMMER,0.5,21.7,12.2,31.1,148,172,,
